nombre,identificacion,tipo_vivienda
Pedro Chacón,37343048,casa
Jaime María Nazario Aguilar,69951364,finca
Cecilia Noriega Amador,55073589,apartamento
María del Carmen Aldonza Arriaga,22274400,casa
Ivonne Julia Rodríguez Tejeda,11563144,casa
Jacobo Jacinto Ibarra Limón,36020160,aparta estudio
Raquel Santillán,13677976,aparta estudio
Roberto Alonso Castro Canales,19348187,otro
Agustín Esther Roybal,80786534,finca
Jorge Luis María Eugenia Peralta,21613592,apartamento
Mario Irma Garica,42973137,finca
Sr(a). Jesús Aguayo,54726118,finca
Dr. Karla Melgar,46928528,aparta estudio
Pamela Sofía Lovato Armenta,97551745,finca
Felipe Casárez,98552075,finca
Indira Estefanía Cabán Botello,41562452,otro
Leonor Granado,52002447,finca
Camila Noelia Alonzo Cornejo,53051630,aparta estudio
Dr. Amalia Padrón,45226750,apartamento
Mtro. Vicente Guillen,26578511,otro
Jonás Verónica Chapa,97730502,apartamento
Lic. Enrique Carrero,19683766,apartamento
Arturo Alejandro Pedraza Cortés,89655185,apartamento
Sr(a). Bianca Vargas,81573107,finca
Lilia Dalia Arellano Saldaña,42240776,otro
José Fabiola Rodríquez Palomo,43870512,apartamento
Wendolin Isaac Yáñez Escobedo,41832710,finca
Sergio Dulce María Colón Valverde,45020515,otro
Verónica Lira Tamez,35162398,apartamento
Carmen Aurelio Santiago Frías,80875371,otro
Dr. Clemente Verduzco,40953816,aparta estudio
Teodoro Diego Tejeda,56706421,aparta estudio
Sergio María José Romero,70168750,casa
Diego Emilia Calvillo Garibay,34579129,otro
José María Ernesto Merino Ferrer,24557440,otro
María Eugenia Sessa Matías Robledo,24535058,finca
Aldo Ayala,22057665,finca
Violeta Méndez,44548864,casa
Andrea Carrión,75790044,aparta estudio
Abraham Calvillo Reséndez,30097351,casa
Daniel Isabela Guillen,89883485,otro
Ana Luisa María José Rico,38505499,apartamento
Carla Ozuna Santacruz,95568613,apartamento
César Esperanza Orosco Mejía,12097091,finca
Samuel Rosa Cotto,34176035,aparta estudio
Ernesto Violeta Rivas Montenegro,71784465,casa
Lilia Liliana Perales,76336625,finca
Ruby Delgadillo,54865761,apartamento
Sessa Gabriela Bustamante,83804888,apartamento
Lic. Jacobo Alvarez,84033092,otro
Mariana Rosado Longoria,93262519,casa
Jerónimo Mora,71168098,aparta estudio
Sergio Arcelia Valles Robles,78903749,apartamento
Sr(a). Clemente Tamez,18015308,apartamento
Cristian Juan Carlos Tejeda,54878905,casa
Luz Marisol Cervantes Ornelas,48800381,aparta estudio
Adán Venegas,78687150,aparta estudio
Hermelinda Amelia Briseño,87045507,aparta estudio
Lic. Norma Osorio,31621189,finca
Vicente Aldonza Barrientos,51986449,otro
Leonel Gaytán,75103411,casa
Mtro. Francisco Javier Mares,17002356,apartamento
Jorge Carolina Ponce,10135082,otro
Jaime Varela,38151238,casa
Mtro. María Eugenia Garay,97804049,finca
Santiago Casares Muro,98351082,apartamento
Marisol Herrera Valladares,59276218,otro
Karina Jerónimo Montenegro,64054441,apartamento
Serafín Godoy,81271680,otro
Elena Araceli Rivas,98851512,casa
Dr. Gonzalo Pineda,15430836,finca
Alonso Diana Patiño Bañuelos,84171775,finca
Ana Quesada,42481101,aparta estudio
Vicente Juana Gamboa,96142409,aparta estudio
Fabiola Bernal Orta,77237644,otro
María Eugenia José Nazario Anaya,94933436,aparta estudio
Mercedes Felipe Carbajal Lucio,54983313,apartamento
Sr(a). Francisco Puente,82864030,casa
Leonardo Almanza,53924503,otro
Isabel Téllez Roque,95427272,finca
Gustavo Almaraz Corona,31935291,aparta estudio
Daniel Escobar,21048693,aparta estudio
Hernán Lucero,58127657,otro
Sr(a). Natalia Mireles,57121371,otro
Frida de Jesús,36294960,aparta estudio
Horacio Puente,33297731,aparta estudio
Renato Leyva Concepción,88561373,casa
Emilia Sosa Nieto,80565007,otro
Débora Patiño Montes,99153905,otro
Diana Paz,26391373,otro
Julio Quintero Contreras,81447842,otro
Arturo Diego Garza,30303122,finca
Alberto Cortez,79341345,apartamento
Clemente Micaela Sanches Urrutia,39963355,apartamento
Espartaco Armas,72611831,otro
Héctor Miranda Romero,23363420,casa
Sofía Quiroz,55822540,otro
Alfredo Rocha Nava,69267673,otro
Oswaldo Carrera,85023500,finca
Ángel Alemán Ureña,41948975,finca
Dolores Trejo,43208816,otro
Patricio Reyes Tamez,73542001,apartamento
Indira Guajardo Armas,85606029,aparta estudio
Lorenzo Noemí Raya,59150428,apartamento
Noemí Valle,66438995,otro
Mtro. Bernabé Polanco,77929600,apartamento
Miguel Ángel César Quintana Navarro,33635423,finca
Alfredo Herrera,28075948,casa
Sandra Rivas,12530752,finca
Abelardo Andrea Treviño,93373290,apartamento
María José Muñoz,73374138,otro
Olivia Lorena Tórrez,78386251,apartamento
Natividad Arreola,24856674,otro
Alicia Escobedo Vásquez,55228388,aparta estudio
Eugenio Camarillo Alonzo,42376519,otro
Sr(a). Octavio Pacheco,24193025,aparta estudio
Ilse Espino Tirado,15532405,finca
Manuel Flavio Narváez Benavides,74852586,apartamento
Sr(a). Bianca Macías,92797971,finca
Pedro Pérez,29621483,aparta estudio
Dr. Natalia Saavedra,76647185,finca
Dr. Cristal Cuellar,26032279,apartamento
Olivia Octavio Márquez Galindo,40823282,finca
Jorge Calderón Alva,84820519,otro
Dr. Eduardo Franco,84160913,finca
Arturo Marcos Otero Arredondo,19606309,finca
Francisco Mario Alvarado Cornejo,80957806,apartamento
Uriel Llamas Estévez,65876815,aparta estudio
Felipe Cuellar,71616413,finca
Magdalena Alfredo Pérez,82954607,apartamento
Dulce Frida Briseño,35953849,apartamento
Flavio Rodrígez Alejandro,34904197,aparta estudio
Héctor Claudio Salgado Bravo,41321772,casa
Ariadna Rolando Delgado Valentín,66607012,aparta estudio
Rebeca Salma Ramón Santiago,95291867,aparta estudio
Bianca Arcelia Ávalos,69006938,otro
Martha Suárez,72172818,finca
Concepción Rangel,51300927,finca
Mateo Ilse Montemayor,59683593,aparta estudio
Cristina Alfredo Montero,44532082,aparta estudio
Cynthia Oswaldo de la Garza,32985584,casa
Felix Rosalia Vega Villalpando,35553589,aparta estudio
Margarita Virginia Cruz,31862929,aparta estudio
Sr(a). Emiliano Sauceda,77539919,finca
Ivonne Gilberto Ibarra,72061416,aparta estudio
Lucía Ponce,97164062,casa
Ing. Berta Valles,27786035,otro
Israel Naranjo Tórrez,53434636,otro
Espartaco Germán Colón,59134716,apartamento
Judith Olga Meléndez,64122552,aparta estudio
Graciela Rojo,39042198,finca
Rebeca Matías,22733661,casa
Minerva Miramontes,31004269,finca
Ana María Gerónimo Esquibel Altamirano,17797114,apartamento
Catalina Cabrera,48764181,casa
Barbara Asunción Cantú Olivares,87358903,casa
Cristian Caridad Zúñiga,50912915,finca
Paola Montoya,60598968,aparta estudio
Ing. Augusto Bueno,66946012,apartamento
Sofía Mota López,94141416,aparta estudio
Timoteo Perla Yáñez Mateo,69413185,apartamento
Sr(a). Georgina Magaña,86532035,apartamento
Mtro. Cristian Beltrán,32275253,otro
Esperanza Héctor Briseño,63358403,otro
Lic. Nelly Arteaga,77685734,casa
Eva Diego del Valle Cepeda,15679109,casa
Natividad Teresa Mora,91214865,apartamento
Reynaldo Rosalia Adame,86363545,apartamento
Carolina Carolina Leyva Rocha,33594758,apartamento
Alejandro Jonás Casárez Saldaña,62961748,aparta estudio
Sr(a). Eloy Velásquez,38943439,aparta estudio
Victoria Samaniego Alcántar,43365202,apartamento
Helena Barragán Carvajal,94634095,apartamento
Juana del Río,34046783,otro
Homero José Eduardo Gurule,39303188,finca
Benito Borrego,95545792,finca
Marisol Valladares,18297830,aparta estudio
Josefina Conchita Martínez de la Garza,62394702,otro
Sr(a). José Emilio Ybarra,49223433,casa
Lic. Conchita Rojo,84046075,finca
Ing. Zeferino Haro,56610739,casa
Rubén Andrea Menéndez,12432909,finca
Magdalena José Manuél Elizondo Prado,15259062,apartamento
Ing. Sessa Laureano,17507055,otro
Ing. Armando Villanueva,82305190,otro
Alberto Noelia Garay Luevano,28700794,aparta estudio
Wendolin Tapia,38090271,otro
Gonzalo Henríquez Coronado,56570900,casa
Mtro. Claudia Briones,45412907,apartamento
Ing. Alejandro Santiago,84101832,casa
Ing. Maximiliano Ferrer,55845760,apartamento
Ing. Jonás Jaramillo,91851571,otro
Julio César Isabel Ocasio,49325905,otro
Ing. Benito Hidalgo,10471852,apartamento
Esther Zelaya Dueñas,83021229,aparta estudio
Martha Hilda Robledo Prieto,48281793,casa
Sr(a). Oswaldo Vallejo,91874630,casa
Reina Carrión,55417770,apartamento
Sr(a). Porfirio Caballero,78867872,casa
Ruby Rosario Barrios Murillo,70391983,otro
Pedro Flavio Alemán,28321313,apartamento
Humberto Gallegos,40724979,finca
Ana Luisa Segura,28271656,aparta estudio
Graciela Figueroa Meza,62984301,otro
Dalia Isaac Verdugo,66775255,finca
Karina Navarro,46021884,finca
Martha Acuña,50230031,casa
Mtro. Jacinto Salcido,46320650,otro
Elvia Castro,28913362,casa
Adriana Barrera,68213260,apartamento
Noemí José Carlos Méndez Nazario,63889786,apartamento
Guadalupe Herrera,79149692,finca
Martha Marisol Ruelas Cervantes,25449508,casa
Nayeli Franco,58108379,finca
Luis Manuel Rodolfo Corrales Castañeda,42645129,otro
Aurora Mónica Flores Montoya,10477505,aparta estudio
Alonso Vélez,22677701,aparta estudio
Bruno Hermelinda Carrillo Vásquez,18861891,apartamento
Mtro. Omar García,49394430,otro
Dr. Francisco Javier Rojas,60024582,aparta estudio
Abelardo Cornelio Aguilera Quezada,50974664,finca
Homero Tafoya Olivera,66516025,apartamento
Marcos Véliz Corrales,23681170,apartamento
Eduardo Rolando Molina,28461067,aparta estudio
Guadalupe Valentín Barrientos,41200582,otro
Lic. Estela Paredes,62158171,casa
Ariadna Francisca Torres,41413860,otro
Gloria Adalberto Patiño,42637703,otro
Mauricio Sarabia Arguello,21133393,otro
Judith José Galván Vázquez,18867830,casa
Francisca Fajardo,52444593,finca
Dalia Caraballo Patiño,92571058,aparta estudio
Flavio Jaime Jaimes Caldera,85817472,aparta estudio
Rubén Timoteo Matías Jáquez,19317307,otro
Vicente Elizondo,34466741,apartamento
María Cristina Quesada,28230319,aparta estudio
Virginia Gerónimo Meléndez Montoya,70674093,finca
Natalia Serrano Sanabria,92068610,apartamento
Elsa Anguiano,92471573,finca
Carmen Naranjo,49813413,finca
María Elena Hernádez,91380964,aparta estudio
Irene Dalia Perea,26515837,casa
María José Catalina Armendáriz,70929311,casa
Bruno Casillas,30574495,casa
Rosalia Federico Ávila Carrasco,98733554,aparta estudio
Rodrigo Serrano Ordóñez,88219455,apartamento
Enrique Corrales,42470772,otro
Ignacio Valencia Marroquín,85711939,otro
Eloy Leonor Ceballos,76391490,casa
Noelia Sotelo,37259684,aparta estudio
Sergio Tapia,40038578,finca
Marco Antonio Jaime Escamilla Becerra,10629992,aparta estudio
Marisol Bruno Portillo,92286610,apartamento
Ing. Adán Meza,13904990,finca
Julio Genaro del Río Yáñez,41779804,otro
Salvador Lilia Posada Rodrígez,52615426,apartamento
Catalina Conchita Fernández,31072469,aparta estudio
Norma Henríquez Cervantes,87718057,otro
Abelardo Báez Cotto,22054082,apartamento
Bianca Raquel Saldaña,70104059,aparta estudio
Adán Elvia Delgado,20416923,apartamento
Abraham Olmos,73784851,finca
Darío Rocío Chacón,16541265,aparta estudio
Eva Meraz Almonte,97261621,finca
Estela Leonardo Zepeda,89867926,finca
Rafaél Tijerina,43367984,aparta estudio
Virginia Villa Jaramillo,46449987,apartamento
Aurora Yolanda Guillen Armenta,75396586,apartamento
Nicolás Perea,86812468,otro
Germán Páez del Valle,20667982,otro
Clara Cepeda Baca,10177629,apartamento
Alvaro Villa Lara,80240014,casa
Ing. Paola Rodrígez,90730252,otro
Ing. José Carlos Sanabria,90391665,otro
Abril Dolores Aguayo Morales,25611733,otro
Beatriz Micaela Ocasio,15785389,finca
Jesús Loya,64921566,casa
Fidel Guardado,98616195,casa
Ing. Barbara Leyva,34007705,casa
Carolina Iglesias,33437664,casa
Beatriz Enrique Rivas,48732453,aparta estudio
Ing. Marco Antonio Ruiz,82448483,apartamento
Ana Delia Solano Caballero,35050952,aparta estudio
Claudio Vásquez,55906803,casa
Leticia Marroquín Olivas,61243775,finca
Carmen Rosalia Morales Aguilera,61120030,otro
Alejandro Negrón Solís,57478859,aparta estudio
Miguel Ángel Fonseca,15454308,apartamento
Raúl Óliver Bañuelos Quiroz,66970237,finca
Mtro. Arturo Lara,85886245,apartamento
Luz Darío Piña,65785065,aparta estudio
Carolina Anel Gastélum,84733734,apartamento
Natalia Bernardo Casares Guardado,96334772,apartamento
Rufino Humberto Arguello Alcántar,38586747,finca
Vicente Carlos del Valle Arce,80220833,aparta estudio
Ariadna Alberto Ruiz,30964847,finca
Francisca Carolina Jasso Santiago,24671659,finca
Humberto Rocío Armas Grijalva,87635305,casa
Tania Juana Puente,21387042,aparta estudio
Jacobo Aranda Nájera,35919111,finca
Ángela Gonzalo Soto Sáenz,60067246,casa
Guillermina Cecilia Saavedra,58275902,otro
Carolina Jacinto Trujillo,64840105,otro
María José Judith Osorio Valadez,93854302,otro
José Manuél Velasco,96913253,finca
Dr. Ignacio Angulo,69255398,apartamento
Esperanza Bruno Domínguez de Jesús,12647814,otro
Dr. Liliana Páez,89801889,apartamento
Alonso Alejandro Pelayo,28535148,apartamento
Hermelinda Caldera Márquez,50467254,finca
Mtro. Luis Miguel Cavazos,24677497,aparta estudio
Magdalena Rebeca Bétancourt Martínez,74505603,otro
Frida Jacobo Maya Venegas,33616340,casa
Mtro. Manuel Aguayo,78195298,aparta estudio
Dr. Estela Durán,61148476,finca
Mateo Luis Manuel Ojeda,86013636,aparta estudio
Nayeli Mayorga,53433532,apartamento
Óscar Meza Saucedo,90396960,otro
Asunción Carrasco Chávez,26793145,aparta estudio
Ofelia Carranza,73563969,finca
Abigail Ordóñez,11492845,aparta estudio
Dr. Clara García,23425087,finca
Mauricio Miguel Zavala Espinoza,38607432,otro
Sandra Canales,37344755,apartamento
Francisco Javier Rosario Brito,10199665,casa
Dr. Juan Carlos Marín,22424966,aparta estudio
Trinidad Barrios Casillas,46669527,otro
Ing. Cristobal Aranda,31022563,casa
Octavio Luisa Molina Patiño,38395879,aparta estudio
Ing. Esther Apodaca,59022865,casa
Lic. Emilia Centeno,25083973,finca
Dr. Gilberto Garrido,57818374,otro
Ing. Pilar Alcántar,50640538,aparta estudio
Ignacio Óliver Godínez Loera,63532800,otro
José Luis Lerma,39423415,aparta estudio
Sonia Menéndez Urrutia,36273393,casa
Sr(a). Cecilia Serrato,47917790,finca
Lorena Ignacio Luevano Ballesteros,27325282,otro
Sr(a). Alicia Dávila,69364173,finca
Serafín Armando Lira,69932683,otro
Ing. Lorenzo Prieto,28285661,aparta estudio
Mtro. Bruno Reyna,43265481,aparta estudio
Ana Jurado,90866463,apartamento
Frida Blanca Canales,81761677,otro
Ing. Esmeralda Salazar,12619605,apartamento
Bernardo Guevara,45349812,aparta estudio
Carolina Farías Zarate,89521770,apartamento
Lic. Sessa Muñoz,14524018,finca
Anabel Aranda,51846734,otro
Linda Samuel Lemus Sanabria,59991063,otro
Elsa Abel Pichardo,57330354,apartamento
Martín Carranza,83871860,casa
Sara Abel Arguello Madrigal,22413885,casa
Ilse Germán Coronado Escobar,46911061,otro
Roberto Celia Rojas,68041395,finca
Dr. Omar Solorio,43930215,casa
Ing. Carlota Sarabia,95956440,casa
Olga Aldonza Orozco,76941242,otro
Camila Muñoz,44059299,apartamento
Sr(a). Manuel Arenas,60534103,otro
Zoé Alfaro,32861980,aparta estudio
Julia Vélez Espino,72529243,casa
Virginia Horacio Cisneros,29955110,apartamento
Pilar Cotto,65830513,apartamento
Minerva Esther Salcido Escobedo,75363913,finca
Cynthia Leticia Lugo Polanco,29214101,otro
Sessa Aida Gonzales,53239412,aparta estudio
Esparta Almonte,22319209,finca
Paulina Uribe,81787109,finca
Guillermina Pedraza Porras,14970397,apartamento
Marisela Octavio Espinosa Mora,45240957,aparta estudio
Dr. Gregorio Arredondo,84754534,apartamento
Esmeralda Varela Salcedo,60724022,otro
Mtro. Dulce Valencia,80074997,otro
Ignacio Enríquez,54331225,otro
Roberto Paola Salcido Barreto,94942445,otro
Frida Lucero,29452019,finca
Gonzalo Enrique Valentín,77335202,otro
Rodolfo Zaragoza,61768171,apartamento
Daniel Canales Ceballos,57819827,finca
Lucas Torres,29962195,finca
Raúl Juan Carlos Perea Garza,64901034,apartamento
Diego Cristal Escobedo,93799605,otro
Cornelio Karla Gonzales Valadez,21319246,apartamento
Andrea Jáquez,72131418,apartamento
Sr(a). Alberto Godínez,40499818,casa
Gabino Almaraz,15223203,apartamento
Gilberto Yuridia Regalado Negrete,19655387,casa
José Eduardo Gerardo Almonte,77572671,finca
Laura María Cristina Gaitán Puga,42574187,casa
Lic. Mauro Estévez,78205632,finca
Dr. Patricia Malave,31449195,finca
Carmen Alba,87511445,otro
Ing. Anel Fernández,97988066,aparta estudio
Sandra Guerra,68376582,aparta estudio
Felix Reséndez,81121929,otro
Gabriela Palomo Rodarte,26856022,apartamento
Mtro. Norma Herrera,44979495,casa
Lic. Juana Cisneros,45046735,finca
Raúl Ávila López,48536116,finca
Pascual Mares,39301344,casa
Elias Almaraz Rendón,90059301,finca
Sr(a). Angélica Arriaga,59240329,apartamento
Paulina Puente,76275608,finca
Isaac Segura,39803576,otro
Benjamín Arriaga,77881994,otro
Antonio Cantú Franco,12091012,finca
Maximiliano Bermúdez,10426818,finca
Beatriz Julio César Miranda Arredondo,61369822,apartamento
Esther Abel Gálvez Luna,61890533,apartamento
Diego Vela,11734914,aparta estudio
Elisa Abraham Rivero Puga,92700142,apartamento
Dr. Joaquín Cedillo,80070603,apartamento
Andrea Segura,10854581,finca
Cristina Zeferino Valadez,12059242,aparta estudio
Antonio Mónica Gurule,31275071,finca
Judith Virginia Sauceda Palacios,38247540,apartamento
Tania Solano Pedroza,32183614,casa
Dr. Mayte Menchaca,86495142,apartamento
Óliver Antonio Holguín,50693773,otro
Abelardo Ramiro Arce Romero,56172759,otro
Angélica Sandoval,71528496,aparta estudio
Jonás Villarreal Carbajal,64499837,apartamento
Isabel Vigil,37479527,casa
Dr. Modesto Casanova,93146620,apartamento
Tania Murillo Ramos,76631231,aparta estudio
Renato Corral Serrano,46353469,finca
Jacinto Grijalva,93780606,aparta estudio
Aurelio Covarrubias Domínguez,44164046,otro
Eloy Gustavo Muñoz,58153411,aparta estudio
Noemí Amador,68357951,casa
Joaquín Mora,67995444,casa
Sr(a). Mauro Loera,63194479,casa
Aurelio Manzanares Mercado,19552284,casa
Socorro Montero,52795784,aparta estudio
Mtro. Lorena Cazares,47830495,casa
Gerónimo Benavídez,49708549,apartamento
José Manuél Luevano,78682759,otro
Patricio Amelia Frías García,54468042,aparta estudio
David Pamela Galindo,59897295,aparta estudio
Catalina Hinojosa Valles,17393908,apartamento
Sofía Hernandes Bueno,37328840,apartamento
Mtro. Renato Ordóñez,45351239,aparta estudio
Benjamín Laureano Aguirre,94202166,otro
Nicolás Ocampo,41720171,otro
Cornelio Nevárez,44519263,casa
Angélica Raúl Flórez Garrido,54036222,finca
Trinidad Godoy,40635850,aparta estudio
Jacinto Leyva,48221858,aparta estudio
René Israel Flores Venegas,74261870,otro
Rosa Diego Jáquez Collado,98184088,aparta estudio
Mtro. Humberto Galván,46081602,finca
Dalia Sanches Limón,99424915,finca
Isabela Leticia Espinal Ozuna,67571268,apartamento
María Teresa Conchita Vargas,62481688,apartamento
Carlota Amelia Polanco,81997075,apartamento
Itzel Aguilera,13168369,finca
Esperanza Zacarías Montenegro,28645287,finca
Margarita Germán Rodrígez Tirado,16167151,otro
Rufino Eugenio Avilés Gil,11056836,finca
José Emilio Saucedo Munguía,78764482,otro
Gilberto Salazar,91133266,aparta estudio
Ignacio Ávila,65045334,otro
Juana Pascual Cantú Gurule,51273899,casa
Mtro. Evelio Heredia,72127912,otro
Ing. Francisco Javier Molina,53239906,apartamento
Silvia Rosa Olivas,20887325,aparta estudio
Mtro. Patricio Lucio,48496897,finca
Dr. José Carlos Anguiano,49834859,apartamento
Lic. Mario Gaitán,93326624,casa
Nicolás Vela,66691862,casa
Claudio Lorena Guardado Escamilla,50760059,finca
José María de la Rosa Mayorga,45137499,otro
Luisa Irma Dueñas,76874261,casa
Teodoro Pablo Linares,56814542,aparta estudio
Sr(a). René Méndez,90081006,aparta estudio
Noemí Georgina Camarillo,31653493,aparta estudio
Helena Perla Madrigal Nevárez,61145555,finca
Rosario Rebeca Romo Madera,36781271,casa
Eugenia Casas Serrano,50011601,finca
Maximiliano Germán Ybarra,53222504,apartamento
José Eduardo Catalina Heredia,91556854,casa
Enrique Tania Sierra,60408104,otro
Teodoro Raúl Badillo Abrego,32313394,finca
Luis Manuel Gonzalo Beltrán Varela,20057181,aparta estudio
Linda Mora Garibay,52725948,otro
Mtro. Blanca Martínez,70204302,casa
María Eugenia Irizarry,65217391,apartamento
Citlali Segovia,75333729,finca
Mtro. Ana Luisa Jaramillo,79960899,finca
Dulce Aranda,61444155,apartamento
Antonia Gaytán Cano,80754558,casa
Sr(a). Verónica Ojeda,70743884,casa
Renato Montañez Mateo,14721989,finca
Salvador Valverde,37961544,aparta estudio
Mtro. Aldo Cotto,96565600,apartamento
José Emiliano Morales Lira,63735744,apartamento
Gustavo Casanova Franco,29786653,otro
Luz Trejo Sevilla,13350088,finca
Zacarías Sanabria,83900890,apartamento
Mónica Maximiliano Marín,70867449,apartamento
Camila María Luisa Benítez Valdez,12546909,otro
Ricardo Mendoza,42569455,otro
Jerónimo Margarita Valles Avilés,62122135,apartamento
Sr(a). Maximiliano Villanueva,30903324,casa
Cristobal Armando Naranjo,12803388,casa
José Manuél Indira Esquibel Navarro,58175829,aparta estudio
Clara Gloria Ybarra,84645722,apartamento
Julio César Juan Carlos Mena de la Crúz,24519241,finca
Yuridia Durán,41425796,apartamento
Alma Reyna,46912661,apartamento
Zoé Sepúlveda,98290147,aparta estudio
Lic. Zeferino Alva,50511034,aparta estudio
Eva Cavazos Vigil,81056227,casa
Susana Valencia Acuña,20174958,casa
Aida Preciado Salazar,65365828,otro
Lic. Marisol Arreola,54139828,casa
Olivia Noriega Mota,31372515,casa
Lic. Serafín Soto,49722193,aparta estudio
Jacinto Jorge Luis Vergara,79403220,otro
Mtro. Berta Domínguez,39356462,casa
Diego Felipe Alcala,36980496,aparta estudio
Lic. Miriam Reyna,33903452,aparta estudio
Evelio Saldaña Negrón,17082731,finca
Elias Santillán Guerra,97222239,finca
Adalberto Omar Alarcón,23236051,finca
Indira Diana Zúñiga Fierro,46673836,finca
Ángel Niño,20285957,finca
Modesto Alma Negrón,86620474,aparta estudio
Magdalena Rojo Montez,56178045,casa
José Luz Villagómez,63829293,apartamento
Ricardo de Jesús,17979269,casa
Darío Miguel Ángel Cruz,42641899,otro
Jacobo Arellano,19548324,otro
Serafín Federico Amaya,83028320,finca
Miguel Ángel Ávila,16722639,finca
Socorro Rolón,97026351,otro
Dr. Flavio Portillo,94557339,aparta estudio
Eugenio Hernán Fuentes Sáenz,65215732,finca
Marcela Javier Zarate Zavala,51939079,finca
Martín Peralta,94471353,casa
Ángela Reynoso Suárez,74919565,casa
Ing. Guillermo Becerra,84581552,otro
Lic. Gabino Aranda,75028010,finca
Irene Cecilia Valverde Villareal,88886528,apartamento
Evelio Hernán Aparicio,43306163,casa
Sr(a). José Emilio Hernández,70917095,finca
Celia Rubén Saiz,31138143,finca
Ana Mariana Alcala Herrera,97665064,casa
Débora Tamayo Valentín,43101543,finca
Raúl Meza,11969981,casa
Marisela Vera Bustamante,74219048,aparta estudio
Hugo Ureña,88149302,finca
María Elena Gregorio Alfaro,47202227,aparta estudio
Mtro. Felipe Montero,68541710,otro
Mtro. Lucía Bueno,32532919,casa
Mtro. Rolando Bétancourt,69870332,otro
Barbara Galindo Nieves,78134494,otro
Amador Zúñiga,63893180,apartamento
Abelardo Cynthia Zepeda,35641424,apartamento
Isabela Nelly Nazario Toledo,54330736,finca
Olivia Benito Henríquez,46248987,aparta estudio
Linda Campos Mayorga,57170779,finca
Noemí Jacinto Almonte Caraballo,72757461,casa
Jorge Luis Óliver Saucedo Griego,11574177,casa
Eduardo Verdugo,78134686,finca
Diego Jaime,55423368,apartamento
Mtro. Renato Mascareñas,70036944,casa
Carla Guerrero,81852118,finca
Violeta Martín Pacheco Mondragón,19788598,apartamento
Noemí Rufino Rojo,32355256,casa
Dr. Bianca Carreón,98985629,finca
Leonardo Manuel Romo Hinojosa,32056075,aparta estudio
Mateo Miguel Puente,34756867,aparta estudio
Dr. Maximiliano Viera,35441520,casa
Cristian Clara Lemus,40851249,apartamento
Celia Bernardo Carrión,85340429,aparta estudio
Manuel Margarita Badillo,19774195,otro
Angélica Valentín Roybal,53138760,finca
Mtro. Sessa Beltrán,35836913,aparta estudio
Nicolás Lilia Bustamante Hinojosa,55145155,casa
Alejandra Robledo Ocasio,50170686,otro
Octavio Omar Bañuelos,95686792,apartamento
Lic. Ana María Olivas,78872012,casa
Rosalia Alejandra Partida,25681186,finca
Soledad Alvaro Báez,73949567,casa
Reina Gerónimo Ornelas,16333792,casa
Verónica Saldaña Alva,95707386,aparta estudio
Lic. María del Carmen Razo,83006559,otro
David Cotto Limón,39351567,finca
Abel Yuridia Castro,68264962,aparta estudio
Fabiola Malave,45684927,casa
Lic. Hermelinda López,95008423,casa
Amador Jaramillo Altamirano,43129239,apartamento
Abril Barbara Lebrón Arce,27773597,finca
Cornelio Agustín Lucero,95426984,apartamento
Inés Maximiliano Ramos Almonte,48188975,finca
Caridad Armando Mendoza,58508395,aparta estudio
Raúl Fajardo,91044155,finca
Noemí Ramos,53377379,otro
Cristal Vicente Rosario,52508914,aparta estudio
Nelly Ybarra Gallardo,28110900,apartamento
Mtro. Abelardo Duarte,68180699,otro
Gabino Heredia Vásquez,75033981,apartamento
Salma María Elena Aparicio,55674337,otro
Alfredo Ricardo Altamirano Meléndez,24292729,aparta estudio
Nelly Toro Arreola,43032583,finca
Luz María Luisa Archuleta Fuentes,27010986,casa
Irene Rascón Concepción,99953638,otro
Iván María Teresa Varela Lara,67424530,aparta estudio
Alonso Cristian Badillo Centeno,29150789,otro
Alfredo Preciado Armenta,71729289,apartamento
Renato Claudia González Covarrubias,81595656,otro
José Manuél Ana María Miramontes,24077095,finca
Fabiola Ariadna Pizarro Lucio,60765028,finca
Concepción Micaela Altamirano Rodrígez,12981749,apartamento
Mtro. Francisco de la Rosa,81492453,apartamento
Mtro. Violeta Guillen,60320486,apartamento
Mauricio Ceja Malave,25288364,aparta estudio
Noelia Raquel Pineda Arias,21841709,aparta estudio
Antonia Flórez,33923211,apartamento
Soledad Camilo Vera Trejo,60594310,casa
Estela Lemus,26636566,otro
Gloria Guadalupe Segura Zelaya,18177753,finca
Gabriela Torres,91874378,otro
Alicia Valle Barajas,59269387,apartamento
Lilia Gloria García,69382164,finca
Salma María del Carmen Longoria,35775657,casa
Lic. Marisela Pulido,45112676,otro
Ángela Miguel Ángel Nazario Sáenz,34852754,otro
Elena Cordero,32502952,finca
Emilia Nayeli Mayorga Merino,98039834,finca
Emiliano Vásquez,45681937,otro
Lic. Alejandro Zarate,25101173,casa
Alonso Flavio Trejo,86778966,finca
Isabel Carreón,21343515,casa
Elena Cortés,58093421,otro
Ivonne Granados Uribe,87850548,finca
Sr(a). Cynthia Jiménez,39464688,otro
Maximiliano Bravo,35119206,aparta estudio
Isabel Mota,78061096,apartamento
Lic. Catalina Anguiano,38595816,otro
Patricia Mario Roque Salcedo,49925905,apartamento
Tomás Serrano,31072864,otro
Dr. Humberto Polanco,72175528,casa
Estela Venegas Vázquez,49176334,otro
