nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal,identificacion,tipo_vivienda
Andrea Abelardo Garrido Aparicio,81,desconocido,viudo,universitaria,si,si,444883,no,no,celular,abr,1,897,853,otro,no,15143517,apartamento
Claudio Toledo,57,estudiante,divorciado,tecnica,no,si,848031,no,no,celular,mar,9,311,585,inexistente,no,40952616,apartamento
Indira Hermelinda Gamez Toro,70,emprendedor,soltero,ninguno,si,no,594306,no,si,celular,may,5,185,344,exitoso,ninguno,69444847,otro
Rafaél del Valle,78,desempleado,soltero,otro,si,no,104920,si,no,telefono fijo,feb,9,315,22,otro,si,11071424,casa
Alejandro Andrea Barrera Santillán,18,obrero,viudo,maestria,no,no,896298,si,no,celular,dic,26,57,473,otro,no,85378431,finca
Luis Miguel Liliana Arellano,77,estudiante,soltero,tecnica,no,no,695599,si,no,telefono fijo,feb,17,361,516,inexistente,ninguno,87514868,finca
Karla Leiva,77,emprendedor,viudo,universitaria,si,no,364112,si,no,celular,dic,31,756,282,fracaso,no,70419116,otro
Mtro. Ramón Lira,87,emprendedor,soltero,doctorado,si,si,718338,no,si,otro,nov,3,844,647,otro,no,60621931,finca
Nayeli Olvera Vélez,66,admin,divorciado,maestria,si,si,602493,si,no,otro,oct,4,902,159,exitoso,ninguno,64361816,aparta estudio
Jaime Dolores Vega Rivas,86,independiente,divorciado,primaria,no,si,865704,no,si,celular,dic,28,56,909,exitoso,ninguno,36845495,otro
Carlos Curiel,19,estudiante,divorciado,maestria,no,si,434408,no,si,telefono fijo,ene,6,106,315,fracaso,no,54219677,aparta estudio
Adriana Eduardo Colunga,37,técnico,soltero,ninguno,si,no,504854,no,no,otro,mar,7,869,525,exitoso,si,67394992,casa
Silvia Silvano Sánchez Narváez,89,independiente,viudo,tecnologia,no,no,594764,no,no,telefono fijo,may,4,934,477,exitoso,si,88951028,apartamento
Sonia Moreno,76,obrero,divorciado,ninguno,no,no,980937,no,si,otro,ago,10,244,257,,si,31478297,otro
Mariana Burgos Polanco,49,admin,soltero,otro,no,si,610645,si,si,telefono fijo,abr,26,561,61,inexistente,ninguno,77968762,aparta estudio
Reina Garica Muñoz,71,otro,soltero,secundaria,no,si,541835,si,si,telefono fijo,abr,3,135,751,otro,no,28047688,finca
Juan Carlos Aparicio Alfaro,69,desconocido,soltero,ninguno,no,no,201224,si,si,telefono fijo,may,1,508,60,otro,no,61877381,apartamento
Gabriela Amelia Cazares,59,emprendedor,viudo,universitaria,si,si,388205,si,si,otro,nov,9,79,669,otro,ninguno,36097047,casa
Sr(a). Claudio Lovato,80,jubilado,soltero,maestria,no,no,17905,no,si,otro,dic,3,975,124,fracaso,no,80414767,casa
Ing. Sessa Fierro,57,gerente,divorciado,posgrado,si,si,19230,si,si,telefono fijo,ago,16,534,484,fracaso,ninguno,69916075,finca
Aldonza Armas Parra,26,otro,soltero,otro,si,no,620802,si,si,celular,dic,9,753,954,inexistente,ninguno,70581567,finca
Ramón Enrique Garica,36,emprendedor,divorciado,universitaria,no,si,635228,si,si,telefono fijo,sep,16,748,887,otro,si,52423783,aparta estudio
Mtro. Juana Sauceda,25,obrero,viudo,tecnica,no,si,535036,no,si,otro,abr,5,134,378,exitoso,ninguno,84936822,finca
Bernabé Bernal Díaz,34,emprendedor,divorciado,doctorado,si,no,795616,no,no,telefono fijo,dic,7,998,170,inexistente,no,48451849,otro
Dr. Renato Rodríquez,68,gerente,viudo,secundaria,si,si,757117,si,no,otro,oct,12,236,205,otro,ninguno,91768319,apartamento
Nancy Escalante Espinoza,43,independiente,viudo,universitaria,no,no,842842,si,no,otro,may,9,388,517,fracaso,si,11964681,apartamento
Pablo Rivera,76,gerente,soltero,tecnica,si,si,223446,si,no,celular,abr,8,67,225,exitoso,si,20612221,casa
Sr(a). Teresa Alcala,25,obrero,divorciado,doctorado,si,si,96287,si,no,telefono fijo,nov,19,64,188,fracaso,si,45912973,apartamento
Camila Báez Urbina,28,emprendedor,soltero,otro,si,no,354180,si,si,telefono fijo,may,20,769,351,fracaso,si,35512326,apartamento
Ing. Natividad Ledesma,71,estudiante,soltero,ninguno,si,no,149161,si,no,telefono fijo,dic,25,667,339,exitoso,si,86944550,finca
Lic. Porfirio Esparza,44,jubilado,soltero,secundaria,si,si,258394,no,si,celular,oct,31,913,150,exitoso,ninguno,68709701,casa
Porfirio Porfirio Barajas,59,admin,casado,doctorado,si,no,524933,no,si,otro,nov,2,43,530,inexistente,no,84900310,finca
Rosa Bernabé Amador Pabón,81,admin,viudo,tecnologia,no,no,89162,si,si,otro,ene,24,317,62,exitoso,no,10975299,casa
Sr(a). Cristian Uribe,61,admin,divorciado,tecnica,si,si,594164,no,si,otro,may,1,360,734,fracaso,ninguno,23930014,aparta estudio
Luisa Adán Barragán Valladares,27,estudiante,viudo,secundaria,si,si,594369,no,si,telefono fijo,nov,29,786,22,exitoso,no,31565264,otro
Adán Emilio Ledesma Alarcón,46,otro,casado,primaria,si,no,357455,no,no,otro,abr,18,683,429,fracaso,no,69734703,otro
Lorenzo Armenta,78,estudiante,soltero,secundaria,no,si,745545,si,si,otro,ago,16,165,408,fracaso,ninguno,38119572,apartamento
Graciela Villarreal Cedillo,73,servicios,viudo,ninguno,si,si,35977,no,si,otro,ago,11,805,864,exitoso,no,77870814,aparta estudio
Aida Carla Estévez Briones,32,gerente,casado,maestria,si,si,627397,si,no,telefono fijo,abr,23,50,963,exitoso,si,60432566,aparta estudio
Sr(a). Alejandra Olmos,81,otro,divorciado,ninguno,si,no,495935,si,no,telefono fijo,ago,8,158,575,otro,no,44767141,apartamento
Lic. Gabriel Benavides,29,gerente,viudo,secundaria,no,si,516925,no,si,telefono fijo,abr,26,711,744,exitoso,ninguno,38563804,aparta estudio
Ignacio Monroy,78,desconocido,soltero,ninguno,no,si,80324,no,si,telefono fijo,sep,7,40,566,otro,si,87341226,casa
Celia Esperanza Gurule,82,estudiante,viudo,tecnica,no,si,317983,no,si,otro,may,25,315,242,exitoso,si,74992826,casa
Rosalia Palomo Valencia,24,obrero,casado,tecnica,si,no,46240,si,si,celular,nov,14,950,999,exitoso,no,17059007,apartamento
Violeta Yuridia Salcedo Fierro,67,admin,soltero,tecnica,si,si,640232,no,no,celular,jul,31,115,151,inexistente,si,79102586,apartamento
Alberto Homero Sevilla Amador,59,admin,casado,secundaria,no,si,226730,no,no,telefono fijo,feb,31,546,655,otro,si,29242515,otro
María Luisa Rubén Arredondo Bahena,33,servicios,casado,doctorado,no,no,515854,no,no,celular,oct,9,442,904,exitoso,si,90801109,apartamento
Noemí Lemus,69,desempleado,soltero,secundaria,no,si,468000,no,no,otro,feb,20,680,501,inexistente,si,12830334,casa
Liliana Yáñez,23,obrero,divorciado,tecnologia,si,si,999544,no,si,telefono fijo,jul,28,710,924,inexistente,si,39041275,finca
Estela Esteban Almaraz Menchaca,64,estudiante,soltero,tecnica,si,si,590230,no,si,otro,may,16,565,926,inexistente,no,86682891,casa
Mauro Mario Carvajal,29,estudiante,divorciado,doctorado,si,no,76149,no,si,otro,dic,31,521,119,exitoso,si,55574755,finca
Juan Barrientos,23,otro,soltero,secundaria,no,si,196242,no,no,otro,feb,2,718,776,fracaso,si,18861222,otro
Darío Zambrano Becerra,53,servicios,soltero,otro,no,no,3972,no,no,telefono fijo,sep,27,801,706,inexistente,no,56542782,otro
Fabiola Madrigal,70,admin,viudo,universitaria,si,si,767980,si,no,otro,abr,6,578,377,otro,si,60355087,finca
Hilda Yolanda Dávila Reyes,89,estudiante,soltero,otro,si,si,228632,no,si,celular,jul,30,919,27,fracaso,ninguno,42549486,finca
Julio Bahena,76,emprendedor,casado,primaria,si,si,291284,si,si,celular,jul,21,318,963,fracaso,si,71378770,aparta estudio
Pascual Dueñas Gracia,61,desempleado,divorciado,posgrado,no,si,615231,no,no,celular,oct,31,222,363,otro,ninguno,49171149,apartamento
Gonzalo Sosa Cavazos,19,estudiante,casado,otro,si,si,215843,no,si,celular,oct,3,96,301,inexistente,si,31913102,otro
Bernabé Sevilla,80,gerente,soltero,maestria,si,si,137244,no,si,otro,may,14,407,316,otro,no,99912853,finca
Porfirio Anabel Aparicio Peña,31,desempleado,soltero,tecnica,si,no,489676,si,no,otro,jun,7,356,15,otro,no,12961986,finca
Lic. Ángela Sosa,80,otro,viudo,posgrado,no,si,125507,si,si,telefono fijo,may,9,138,812,inexistente,ninguno,74702703,casa
Pablo Tapia Zúñiga,74,servicios,casado,ninguno,no,no,917772,no,no,telefono fijo,ene,23,409,284,inexistente,ninguno,75088900,aparta estudio
Estela Mitzy Rodrígez,47,independiente,divorciado,doctorado,no,si,770976,si,no,telefono fijo,ago,30,928,312,inexistente,no,35449224,casa
Oswaldo Zarate,41,desconocido,soltero,secundaria,si,si,849187,si,si,telefono fijo,ago,30,196,181,otro,si,86925326,aparta estudio
Tania Canales,21,gerente,soltero,universitaria,no,no,98057,si,si,telefono fijo,abr,16,892,299,exitoso,ninguno,63363723,otro
Abraham Carrión,37,independiente,casado,primaria,no,si,322872,si,no,otro,sep,2,749,46,otro,ninguno,14169476,apartamento
María David Báez Partida,52,admin,casado,doctorado,no,no,123866,no,no,celular,oct,6,643,803,,ninguno,99474895,casa
José María Luis Manuel Casillas,67,emprendedor,casado,universitaria,no,no,815634,si,si,telefono fijo,jun,15,385,116,otro,no,99884195,casa
Mercedes Ramiro Hernádez,23,gerente,viudo,maestria,no,si,497309,no,no,telefono fijo,dic,27,451,852,fracaso,si,35581160,aparta estudio
Pedro Tejada Mesa,18,desempleado,casado,maestria,si,no,609435,si,no,telefono fijo,jul,19,105,313,inexistente,si,39467389,otro
Ing. José Manuél Cruz,26,emprendedor,viudo,ninguno,no,si,203530,si,no,otro,sep,20,378,786,inexistente,ninguno,42877136,casa
Rodolfo Almaraz,65,desempleado,casado,universitaria,si,no,236265,no,si,otro,sep,22,17,662,,ninguno,50775617,casa
Bernardo Carolina Zedillo Reyna,51,servicios,divorciado,primaria,si,si,451279,no,no,celular,nov,23,412,896,otro,si,43442038,apartamento
Ing. Gregorio Casas,34,estudiante,soltero,otro,si,no,808423,no,no,otro,oct,24,955,771,inexistente,si,85911535,aparta estudio
Sergio Cristobal Velasco,59,desconocido,viudo,posgrado,si,no,930689,no,no,celular,mar,23,799,791,exitoso,si,17269517,aparta estudio
María Elena Horacio Espinosa,41,desconocido,viudo,ninguno,si,si,186417,si,si,telefono fijo,may,24,560,241,fracaso,no,60478081,apartamento
Ruby Anaya,49,admin,soltero,secundaria,no,no,882734,no,si,otro,mar,22,460,708,inexistente,si,54137904,aparta estudio
Mtro. Israel Cantú,66,otro,divorciado,primaria,si,si,923534,si,si,celular,abr,4,482,394,otro,ninguno,25414484,casa
Ilse Elias Alvarez Valadez,21,desempleado,viudo,primaria,si,si,662722,si,no,telefono fijo,sep,10,513,865,fracaso,ninguno,54948590,finca
José Manuél Renato Varela,69,jubilado,soltero,doctorado,no,no,63638,si,no,otro,ago,30,953,276,otro,no,74817195,aparta estudio
José Emilio Amador Vaca Zedillo,73,desconocido,divorciado,ninguno,no,no,359257,si,si,telefono fijo,ene,22,691,411,,ninguno,87241373,aparta estudio
Paola Héctor Morales García,31,independiente,casado,maestria,no,no,815306,si,no,telefono fijo,dic,13,753,687,inexistente,no,58238490,otro
Genaro Cynthia Cervantes,19,desconocido,viudo,tecnica,si,no,787646,no,si,telefono fijo,ago,15,147,324,fracaso,ninguno,73843468,aparta estudio
Juan Carlos Esquivel Rico,72,otro,casado,ninguno,si,no,634088,si,si,otro,nov,9,83,422,fracaso,si,62593599,aparta estudio
Marcos Cecilia Cabrera Godoy,61,gerente,divorciado,universitaria,si,no,115464,si,si,telefono fijo,ene,31,641,200,inexistente,no,47744335,casa
Marcela Gilberto Herrera Cuellar,18,servicios,casado,ninguno,no,no,823495,no,si,otro,abr,17,109,778,inexistente,si,14528068,aparta estudio
Gerardo de la Garza,81,independiente,casado,otro,no,no,431292,si,no,celular,may,2,416,45,exitoso,no,93785671,apartamento
Luis Manuel Marrero Quezada,25,independiente,viudo,otro,no,no,828920,si,no,celular,ago,5,675,967,,si,91080364,otro
Bernardo Prado,64,emprendedor,casado,tecnica,si,si,297757,no,si,celular,jul,7,257,119,fracaso,no,13108134,casa
Pedro Diana Uribe,81,estudiante,casado,primaria,si,no,692075,no,si,celular,jun,13,99,818,exitoso,ninguno,83593490,otro
Tomás Leal,34,emprendedor,divorciado,secundaria,si,si,245854,si,no,otro,jun,25,541,516,exitoso,si,96007217,aparta estudio
Judith Vicente Heredia Camacho,63,otro,soltero,primaria,no,no,574800,no,no,otro,nov,8,404,920,exitoso,ninguno,85290946,aparta estudio
Mtro. Luis Manuel Gastélum,77,servicios,soltero,ninguno,no,si,727499,si,no,telefono fijo,nov,6,600,827,exitoso,si,89896220,aparta estudio
Mateo Reyna Juárez,66,estudiante,viudo,posgrado,si,si,331714,no,no,otro,abr,28,821,671,inexistente,no,72214405,aparta estudio
Judith Pizarro Colón,45,estudiante,soltero,doctorado,no,no,213004,no,si,celular,mar,12,331,44,fracaso,no,88708400,aparta estudio
Carla Úrsula Vaca Salcedo,29,técnico,soltero,otro,no,si,843401,no,no,otro,ago,31,498,935,fracaso,ninguno,63080303,apartamento
Irene Oswaldo Nava Otero,38,independiente,viudo,ninguno,si,no,902504,si,no,celular,abr,26,204,641,inexistente,ninguno,19298958,casa
Mtro. Liliana Ureña,20,independiente,soltero,otro,si,si,9641,no,si,telefono fijo,jun,31,119,106,inexistente,si,34262903,aparta estudio
Bruno Eugenia Pichardo,82,desconocido,soltero,primaria,si,no,911463,si,no,telefono fijo,may,14,447,723,exitoso,ninguno,67538339,aparta estudio
Reynaldo Guillermo Rael,47,desconocido,soltero,universitaria,si,si,916426,si,no,otro,jun,7,74,574,inexistente,si,57351009,otro
Dr. Cristina Meraz,76,desconocido,divorciado,tecnica,no,si,405243,no,no,otro,sep,22,760,579,otro,si,97730050,otro
Verónica Jacobo Parra Pulido,33,obrero,soltero,tecnologia,no,si,745886,no,no,otro,jun,30,734,519,otro,ninguno,62642170,apartamento
Inés Frida Salcedo,36,técnico,divorciado,tecnica,si,si,850137,no,si,telefono fijo,feb,16,719,483,fracaso,no,16041955,aparta estudio
Aida Godínez,37,desconocido,divorciado,tecnologia,si,si,498573,no,no,telefono fijo,nov,14,841,610,otro,si,27018234,aparta estudio
Patricia Maldonado Arce,52,servicios,divorciado,secundaria,no,no,532035,si,no,otro,dic,2,490,311,fracaso,si,22187100,apartamento
Israel César Pelayo,58,estudiante,divorciado,primaria,no,si,599878,no,no,otro,jun,3,928,613,otro,si,40245230,apartamento
Angélica Ofelia Frías,85,gerente,viudo,maestria,si,no,925321,no,no,otro,mar,16,973,649,exitoso,no,98124090,apartamento
Lic. Humberto Tijerina,46,obrero,soltero,otro,si,si,183518,si,si,celular,feb,1,621,428,inexistente,no,18062980,aparta estudio
Teresa Matías,85,gerente,divorciado,ninguno,no,si,692148,no,no,celular,jul,3,756,158,exitoso,no,42245605,otro
Ana María Cortez,82,emprendedor,soltero,otro,si,si,462074,si,no,telefono fijo,nov,29,152,313,inexistente,ninguno,45503990,casa
Esmeralda Valentín,60,desconocido,casado,doctorado,si,si,562004,si,no,celular,jun,4,681,946,exitoso,no,54754449,apartamento
Hernán Sáenz,33,otro,casado,ninguno,si,si,152314,si,no,otro,nov,15,396,527,otro,ninguno,80984432,otro
Cristal Olivia Laboy,74,emprendedor,casado,tecnica,no,si,145328,no,si,otro,ago,24,834,403,otro,si,90247183,aparta estudio
Maximiliano Ontiveros,70,emprendedor,viudo,secundaria,si,si,846708,no,no,telefono fijo,may,11,784,309,otro,ninguno,61733949,otro
Ángela Indira Sosa,80,servicios,divorciado,universitaria,si,si,883381,si,si,celular,mar,5,676,199,exitoso,si,42478990,casa
Sr(a). Ángela Armenta,54,técnico,soltero,universitaria,no,si,284858,si,no,otro,sep,20,879,345,fracaso,ninguno,85482214,apartamento
Sr(a). Mónica Rangel,30,admin,casado,universitaria,no,si,900810,no,no,otro,may,23,126,164,otro,ninguno,47821615,otro
Yolanda Collado Baeza,75,admin,soltero,maestria,no,si,860668,no,si,celular,nov,9,708,239,fracaso,si,24913408,apartamento
René Flores Delgado,59,otro,divorciado,secundaria,no,si,247326,si,si,celular,nov,4,421,141,fracaso,si,82017084,aparta estudio
Dr. Maximiliano Rodarte,48,técnico,soltero,primaria,si,no,768097,si,si,celular,ene,7,429,466,inexistente,ninguno,73391415,aparta estudio
Dr. Maximiliano Rodarte,48,técnico,soltero,primaria,si,no,768097,si,si,celular,ene,7,429,466,inexistente,ninguno,61469700,apartamento
Carla Pilar Pizarro,26,admin,viudo,secundaria,si,no,20373,si,si,otro,ene,24,205,19,exitoso,si,97104383,finca
María José Dueñas,45,servicios,viudo,ninguno,no,no,15325,si,si,telefono fijo,abr,9,719,586,otro,si,70547229,casa
Zacarías Pabón Ríos,46,estudiante,divorciado,ninguno,no,si,127285,si,si,celular,feb,22,901,666,inexistente,no,94338177,otro
Sr(a). Adriana Guevara,84,obrero,divorciado,tecnica,no,no,746436,no,si,celular,feb,16,189,242,fracaso,si,87199248,aparta estudio
Hilda Julio César Rocha,83,estudiante,viudo,ninguno,no,si,478920,si,no,telefono fijo,nov,8,571,564,fracaso,ninguno,28841819,finca
Ing. Alma Castillo,75,desempleado,casado,ninguno,si,si,602183,no,si,celular,jun,24,640,71,inexistente,si,67620890,apartamento
Dr. Olga Juárez,80,otro,viudo,doctorado,no,no,890801,no,si,otro,may,4,457,354,exitoso,si,78939624,otro
Ing. Rolando Matos,75,servicios,casado,maestria,no,no,492930,si,si,celular,jul,11,289,275,inexistente,si,18654507,casa
Soledad Adriana Jáquez Monroy,27,obrero,casado,otro,si,no,86511,si,no,celular,dic,15,786,50,exitoso,si,73829774,casa
Lic. Armando Amador,65,técnico,casado,otro,no,si,531226,no,no,otro,mar,17,860,764,exitoso,ninguno,52574037,finca
Guillermina Montalvo Sisneros,35,desconocido,casado,ninguno,no,si,114192,si,no,celular,may,28,448,509,inexistente,si,22430651,otro
Dr. Socorro Espinoza,60,gerente,divorciado,doctorado,si,si,434607,si,si,telefono fijo,oct,19,302,211,inexistente,si,54731236,casa
Bernardo Guerrero,25,desconocido,viudo,otro,no,si,380157,si,no,telefono fijo,abr,14,25,882,inexistente,ninguno,65416976,aparta estudio
Isabela Carbajal,59,desempleado,soltero,tecnologia,si,si,181095,no,si,telefono fijo,oct,14,686,805,exitoso,si,55763490,finca
Isabela Carbajal,59,desempleado,soltero,tecnologia,si,si,181095,no,si,telefono fijo,oct,14,686,805,exitoso,si,42078851,otro
Nicolás Araceli Vallejo,57,técnico,soltero,ninguno,no,no,850316,si,si,celular,feb,20,193,416,otro,no,47208810,finca
Camila Guardado,87,gerente,viudo,primaria,si,si,946235,no,si,celular,ago,13,740,758,fracaso,ninguno,93603462,apartamento
Teodoro José Eduardo Ordóñez Zelaya,68,independiente,casado,universitaria,no,si,616647,no,no,telefono fijo,mar,21,221,418,exitoso,si,12487209,aparta estudio
Serafín Pilar Bernal,72,desempleado,viudo,universitaria,no,si,108633,si,si,otro,dic,18,542,489,exitoso,no,11364647,otro
Samuel Sotelo Lomeli,77,gerente,divorciado,primaria,si,no,827537,si,no,telefono fijo,may,12,608,364,otro,no,46428827,casa
José Emilio Sessa Irizarry Valadez,61,independiente,soltero,universitaria,si,no,777250,si,no,telefono fijo,oct,21,750,341,exitoso,si,10982334,finca
Lic. Miguel Miranda,57,desempleado,divorciado,posgrado,no,si,466198,no,no,telefono fijo,sep,3,722,763,fracaso,no,54833159,otro
Mauro Garay,71,desconocido,viudo,universitaria,no,si,430304,si,no,otro,dic,23,815,687,inexistente,ninguno,14677988,casa
Beatriz Acuña Navarrete,57,desconocido,divorciado,ninguno,no,no,761481,si,si,celular,sep,1,937,537,fracaso,ninguno,58891255,aparta estudio
Georgina Luisa Ybarra Barraza,74,obrero,viudo,doctorado,no,si,527664,si,si,celular,may,9,731,461,inexistente,ninguno,74517401,apartamento
Ing. María José Duarte,41,emprendedor,casado,tecnica,no,si,822018,si,si,celular,feb,24,299,912,exitoso,no,32031686,casa
Antonio Manzanares,51,emprendedor,viudo,doctorado,no,si,213114,si,si,celular,sep,20,643,869,exitoso,no,96697856,finca
Mtro. Sofía Burgos,79,desconocido,viudo,primaria,si,si,954209,si,no,celular,ago,14,728,54,exitoso,no,99946735,otro
Carla Morales Valles,31,estudiante,casado,secundaria,no,si,478043,no,no,telefono fijo,may,2,365,262,exitoso,ninguno,43531393,casa
Ramón Vaca,36,desconocido,casado,primaria,si,si,927615,si,si,telefono fijo,may,24,297,817,exitoso,si,19452600,otro
Óscar Elvira Lerma Gallardo,60,independiente,casado,universitaria,si,no,425682,no,si,otro,ene,6,266,756,otro,ninguno,96361043,apartamento
José Luis Madrigal Portillo,23,estudiante,divorciado,tecnica,no,si,621154,si,no,celular,oct,7,354,11,fracaso,ninguno,30615727,aparta estudio
Dr. Isaac Mata,37,desconocido,casado,otro,no,no,71770,no,no,otro,jul,25,723,476,exitoso,ninguno,59592592,aparta estudio
Esteban Jaime Esparza,49,técnico,casado,maestria,no,si,178387,si,si,celular,ene,5,351,630,inexistente,no,75862734,finca
Carlota Sierra,81,otro,soltero,ninguno,no,no,689864,no,si,telefono fijo,ago,25,185,264,fracaso,no,24108918,aparta estudio
Isaac Martín Villareal Pizarro,39,otro,divorciado,otro,si,no,814058,si,no,celular,ago,29,809,324,fracaso,ninguno,70039532,casa
Germán Pedroza Haro,77,servicios,viudo,primaria,no,si,818464,si,si,telefono fijo,ago,10,240,77,fracaso,no,93514464,finca
Hernán Mitzy Villalobos,82,independiente,casado,doctorado,no,si,394574,no,si,otro,sep,9,716,422,inexistente,ninguno,11907478,otro
Mauricio Vargas Patiño,76,técnico,soltero,doctorado,no,no,974184,si,si,otro,may,13,451,870,otro,no,83608503,aparta estudio
Daniel Julio Fonseca Arteaga,79,gerente,casado,ninguno,si,si,828516,si,no,celular,abr,25,516,39,fracaso,si,11245514,otro
Victoria María Eugenia Naranjo Miramontes,54,desempleado,divorciado,secundaria,no,si,716356,no,no,telefono fijo,jul,26,499,466,fracaso,no,57533714,aparta estudio
Eric Vélez,28,independiente,divorciado,tecnologia,no,si,5552,no,no,celular,oct,30,788,190,fracaso,ninguno,56290572,finca
Salma Quintanilla Merino,23,desempleado,soltero,posgrado,no,no,186396,si,si,otro,jun,2,181,384,fracaso,si,95316374,apartamento
Lic. Zacarías Armenta,79,independiente,viudo,tecnologia,si,si,689615,no,si,celular,feb,15,708,925,inexistente,no,80182638,finca
José Luis Roque,47,independiente,viudo,tecnologia,no,si,279990,no,no,telefono fijo,ene,5,744,480,otro,si,21410532,apartamento
Angélica Sarabia,61,gerente,casado,otro,no,no,806073,no,no,otro,oct,12,696,802,exitoso,ninguno,66682382,casa
Alicia Olivárez,31,emprendedor,viudo,tecnica,no,no,869574,no,si,otro,jun,15,891,724,fracaso,no,40447444,aparta estudio
Mtro. Josefina Centeno,27,desempleado,viudo,primaria,si,si,452620,si,no,otro,ago,13,135,980,otro,no,29593331,aparta estudio
Sr(a). Carlos Bravo,70,admin,casado,doctorado,no,si,700779,no,si,telefono fijo,may,12,678,102,,si,81471871,otro
Olivia Rosario Ulloa,87,emprendedor,casado,primaria,si,no,876306,no,si,telefono fijo,nov,12,251,398,otro,si,88381768,aparta estudio
David Jacinto Valles Sierra,43,emprendedor,viudo,ninguno,no,no,207017,si,si,otro,nov,31,400,957,inexistente,ninguno,33688790,apartamento
Rubén Peres Rascón,87,gerente,divorciado,doctorado,no,no,458909,si,no,celular,dic,21,146,297,inexistente,si,28116699,finca
Fernando Aldonza Gaona Casillas,63,desconocido,soltero,doctorado,no,no,426896,si,no,celular,jun,31,939,286,fracaso,no,44539550,otro
Luis Miguel Vigil Fuentes,60,obrero,casado,primaria,no,si,502596,si,no,celular,jun,22,831,534,otro,si,64632616,finca
Dulce María Pablo Arguello Menchaca,80,admin,divorciado,tecnica,no,no,205419,no,si,otro,oct,16,773,572,inexistente,ninguno,48789668,aparta estudio
Mtro. Rocío Manzanares,61,desconocido,casado,primaria,si,no,791646,si,si,telefono fijo,sep,22,565,217,fracaso,ninguno,69377306,finca
Fidel Ángela Olmos Verduzco,25,independiente,viudo,otro,si,si,672208,no,no,telefono fijo,ene,13,905,226,otro,no,43170965,apartamento
Rolando Emiliano Olivera Montemayor,77,otro,viudo,otro,no,no,600088,si,no,celular,sep,25,924,509,inexistente,si,29909877,aparta estudio
Caridad Zepeda,74,admin,soltero,ninguno,no,si,37034,no,si,otro,ago,20,114,297,inexistente,si,49818357,casa
Hernán Rafaél Hinojosa Ortiz,21,emprendedor,divorciado,doctorado,no,no,119212,si,no,celular,ene,29,767,355,,si,35771466,finca
Sr(a). Felipe Rivero,83,jubilado,casado,secundaria,si,si,929375,si,no,telefono fijo,jun,9,350,353,inexistente,no,99078453,finca
María Cristina Beatriz Mondragón,57,emprendedor,soltero,ninguno,no,no,509996,no,si,celular,abr,12,366,505,inexistente,ninguno,92396875,finca
Dr. Josefina Negrón,38,otro,viudo,maestria,no,si,860919,no,no,telefono fijo,may,18,819,644,exitoso,ninguno,34488241,otro
Ing. Amador Quezada,68,estudiante,divorciado,universitaria,no,no,502123,si,si,otro,dic,21,178,99,otro,si,30891994,apartamento
Ing. Elvia Montez,87,independiente,divorciado,otro,si,no,747213,si,no,telefono fijo,may,6,383,631,exitoso,si,33043218,apartamento
Amalia Mauricio Galarza,60,jubilado,divorciado,ninguno,si,no,65621,no,si,telefono fijo,feb,28,255,288,fracaso,no,15709228,finca
Adriana Araceli Alonzo,21,desempleado,casado,tecnologia,no,no,209567,no,si,celular,oct,2,180,113,otro,no,31318801,apartamento
Ing. Graciela de la O,32,estudiante,soltero,universitaria,no,si,743979,si,si,telefono fijo,mar,11,674,38,inexistente,si,23794578,otro
Juan Carlos Ana Luisa Jiménez Merino,42,desconocido,divorciado,otro,no,no,530511,no,si,otro,ene,6,149,939,inexistente,ninguno,27333683,aparta estudio
Aurelio Silvia Vaca,48,emprendedor,casado,primaria,si,si,394744,si,no,telefono fijo,mar,29,143,971,,no,47043632,finca
Paulina Rojo,62,gerente,divorciado,tecnica,si,si,127209,no,si,telefono fijo,dic,10,186,946,fracaso,ninguno,97684843,apartamento
Ariadna Pulido Camacho,21,desconocido,viudo,doctorado,no,si,208710,si,no,telefono fijo,jun,9,579,49,fracaso,si,54650517,apartamento
Humberto Barrios,36,desempleado,soltero,doctorado,no,no,558610,no,no,telefono fijo,mar,29,123,666,exitoso,no,91442950,finca
Mtro. Espartaco Valdivia,74,obrero,casado,secundaria,no,no,675605,no,si,telefono fijo,sep,3,28,371,fracaso,no,42332607,finca
Fabiola Rosario,87,gerente,soltero,tecnica,si,no,318176,no,no,celular,ene,18,84,867,exitoso,no,38954474,casa
Patricio Montoya,25,estudiante,casado,tecnica,no,si,768223,si,no,otro,ene,16,466,557,otro,no,88202005,casa
Pamela Socorro de León Gallegos,90,jubilado,soltero,tecnica,no,no,651571,si,no,telefono fijo,jun,26,384,137,otro,ninguno,31933589,otro
Alta  Gracia Ruby Sanabria Lomeli,30,admin,divorciado,secundaria,si,si,765380,no,no,otro,jun,24,658,488,exitoso,ninguno,48833631,casa
Mtro. Mariano Molina,33,estudiante,casado,maestria,si,no,927991,si,no,celular,dic,6,739,816,exitoso,no,26182051,apartamento
Ing. Marisol Valenzuela,40,técnico,soltero,ninguno,no,si,109264,si,no,otro,feb,23,646,59,inexistente,ninguno,23965071,aparta estudio
