nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal
Adalberto Chapa Briseño,500,servicios,soltero,,si,no,134928,si,no,,sep,23,508,248,fracaso,si
Abigail Polanco Cotto,81,desempleado,casado,tecnologia,no,si,521255,si,si,otro,feb,14,871,827,otro,no
Hugo Rodríquez,54,independiente,soltero,ninguno,no,si,153105,si,si,telefono fijo,mar,30,358,484,inexistente,ninguno
Claudio María Elena Fierro,28,gerente,soltero,,si,si,145758,si,no,otro,jul,29,130,664,,si
Yuridia Gálvez,44,independiente,viudo,otro,no,no,41570,no,no,,jul,25,58,995,exitoso,si
Marisol Torres Montenegro,74,gerente,viudo,otro,no,no,23234,no,si,celular,may,10,679,705,,ninguno
Elvia Adame,76,estudiante,divorciado,doctorado,no,si,151233,no,no,otro,jul,15,690,39,exitoso,si
Lic. Luis Manuel Samaniego,32,jubilado,divorciado,posgrado,si,no,795092,si,si,celular,jul,8,276,15,otro,no
Joaquín María Alba Negrón,65,emprendedor,divorciado,universitaria,si,si,350189,no,si,,ene,16,865,113,,ninguno
Jorge Julio César Pantoja,74,otro,divorciado,primaria,no,no,555871,no,si,otro,dic,15,295,423,fracaso,no
Mario Mireles,400,técnico,casado,tecnica,no,si,785337,si,si,,sep,19,316,127,otro,ninguno
Ing. Alfonso Hidalgo,33,desconocido,casado,otro,si,si,896828,si,no,,jul,15,457,542,fracaso,no
Dr. Wilfrido Pizarro,24,servicios,divorciado,doctorado,si,si,237175,no,no,,nov,31,276,82,otro,si
Mayte Salgado Lovato,18,,soltero,,no,si,114360,no,no,telefono fijo,may,7,83,278,fracaso,ninguno
Enrique Bravo Miranda,90,gerente,soltero,otro,si,no,498351,no,si,celular,jun,6,520,793,otro,si
Amador Curiel,81,desempleado,soltero,,si,no,844506,si,no,celular,oct,19,32,952,fracaso,no
Teresa Antonio Peres Aguayo,71,independiente,viudo,posgrado,no,no,427068,no,si,otro,ene,16,645,142,exitoso,no
Omar Florencia Valentín,28,técnico,viudo,tecnica,si,si,725346,si,si,,oct,17,889,841,inexistente,no
Noemí Contreras,34,,casado,,no,si,6210,si,no,,ago,3,685,5,exitoso,ninguno
Augusto Violeta Santillán Avilés,500,técnico,divorciado,otro,no,no,552208,no,no,telefono fijo,may,2,438,180,,no
Claudio Gabriela Barreto,82,estudiante,divorciado,tecnica,no,si,416797,si,si,telefono fijo,dic,7,822,237,inexistente,no
Pilar Rosario,20,obrero,casado,tecnologia,si,no,258934,no,no,,oct,22,726,955,,no
Andrés Rubio,70,servicios,soltero,ninguno,no,si,30343,si,no,,feb,20,483,769,inexistente,no
Salma Marisol Valentín,63,técnico,divorciado,otro,no,no,952871,si,no,,dic,17,775,265,exitoso,si
Ignacio Sanches Fierro,28,emprendedor,casado,ninguno,no,si,477993,no,si,,may,23,713,761,otro,si
Salvador Nayeli Coronado,400,emprendedor,divorciado,universitaria,no,si,663700,si,no,,feb,24,786,342,exitoso,no
Zoé Toro Alba,80,técnico,divorciado,tecnica,no,no,197563,no,si,telefono fijo,feb,11,448,564,,si
Samuel Pacheco Casanova,55,emprendedor,soltero,ninguno,si,si,962276,no,si,telefono fijo,may,5,478,364,otro,ninguno
Mtro. Gerónimo Leyva,67,otro,divorciado,primaria,no,si,852143,si,si,,ene,6,426,713,inexistente,si
Genaro Silvano Jimínez Alcántar,46,estudiante,casado,tecnologia,no,no,313581,si,no,,feb,17,258,979,otro,ninguno
Diana Eric Baca Bétancourt,61,independiente,viudo,primaria,si,no,218865,si,no,celular,sep,27,813,2,,ninguno
Jaime Madrigal Rojas,39,obrero,casado,ninguno,si,no,915765,no,no,otro,jul,12,391,912,,ninguno
Margarita Felix Holguín Sáenz,74,admin,viudo,primaria,no,si,745776,si,si,,ago,1,530,291,,ninguno
Carmen Enríquez Cisneros,59,desconocido,divorciado,posgrado,no,no,655061,si,no,otro,ene,22,607,170,inexistente,ninguno
Jerónimo Tamez,500,independiente,soltero,tecnologia,no,si,871765,si,si,celular,oct,18,152,685,,no
Elena Luis Murillo Urías,250,técnico,soltero,universitaria,si,si,751586,no,si,celular,sep,8,813,803,exitoso,ninguno
Federico Cristal Estrada Bueno,25,jubilado,divorciado,tecnica,si,si,36564,no,no,telefono fijo,abr,16,396,687,fracaso,si
Francisco Javier María Elena Aguilar Nazario,21,obrero,viudo,universitaria,no,no,499794,no,no,celular,mar,30,235,538,inexistente,si
Georgina Serrano Serrato,650,desempleado,divorciado,ninguno,no,no,518096,si,si,celular,oct,12,740,301,inexistente,si
Abigail Escamilla Tórrez,82,otro,viudo,ninguno,no,no,442240,no,si,otro,jul,20,363,541,fracaso,ninguno
Fidel Isabel Valverde,85,jubilado,casado,secundaria,no,no,9807,no,no,telefono fijo,sep,10,622,742,otro,no
Santiago Bustos,70,desconocido,divorciado,tecnica,si,si,413164,no,si,telefono fijo,ago,13,14,219,otro,ninguno
Alicia Zedillo Jurado,95,desconocido,casado,maestria,no,si,988574,no,si,celular,jun,22,506,951,exitoso,ninguno
Alfredo Jaimes,38,servicios,divorciado,secundaria,no,si,526785,si,no,otro,ago,1,940,297,exitoso,ninguno
Federico Natividad Gonzales Morales,40,emprendedor,casado,ninguno,si,si,298372,no,si,otro,ago,25,225,115,otro,no
Inés Amelia Lira,550,obrero,divorciado,,no,no,809461,si,si,telefono fijo,jun,16,13,438,otro,ninguno
Ivonne Lilia Padrón Barragán,350,desconocido,casado,doctorado,si,si,460723,no,si,,oct,21,134,426,,ninguno
Luis Miguel Natividad Hidalgo Castillo,49,admin,casado,otro,si,no,871707,no,no,otro,oct,31,117,357,otro,si
Sr(a). Abril Villalpando,500,desconocido,casado,ninguno,si,no,460230,si,no,,abr,16,846,675,inexistente,si
Dr. Julia Patiño,41,servicios,divorciado,maestria,si,si,698900,no,no,telefono fijo,ene,13,268,44,,ninguno
Mtro. Pablo Quesada,76,admin,viudo,universitaria,no,si,13148,no,si,otro,feb,5,1000,701,otro,si
Dr. Blanca Cantú,56,obrero,casado,universitaria,no,si,855187,si,no,celular,jul,5,497,27,fracaso,si
Esparta Eric Burgos,22,desconocido,divorciado,maestria,no,no,337107,si,no,otro,nov,29,886,29,,no
Fabiola Adela Rivas,30,admin,casado,,no,si,626325,no,si,otro,oct,29,390,304,inexistente,ninguno
Federico Toledo Vigil,43,,viudo,primaria,no,si,737426,si,si,telefono fijo,dic,5,357,912,,no
Isabela Maximiliano Muñoz Sandoval,73,técnico,divorciado,posgrado,no,no,138705,si,si,,jul,22,135,64,fracaso,si
Nayeli Domínguez,100,estudiante,soltero,otro,si,no,947271,si,si,celular,feb,7,797,878,fracaso,si
Alfredo Inés Palacios,43,otro,divorciado,primaria,si,no,822814,no,no,celular,nov,11,840,599,fracaso,no
Paulina Toro,60,,casado,secundaria,no,si,716577,no,no,,ene,3,522,613,exitoso,no
Lic. Guillermo Archuleta,52,emprendedor,soltero,posgrado,no,si,151723,no,si,celular,feb,28,940,869,otro,si
Modesto Teresa Niño Mota,82,estudiante,viudo,universitaria,si,no,289309,no,si,otro,abr,21,800,296,,ninguno
Wendolin Chacón Saldivar,31,gerente,soltero,primaria,no,si,81726,no,no,,oct,31,389,799,exitoso,si
Carmen Leonel Calvillo Pedroza,48,desconocido,divorciado,ninguno,si,si,477807,si,no,,abr,12,975,258,,no
Nelly Olivia Mateo Negrete,19,técnico,viudo,posgrado,no,no,837541,no,no,otro,oct,8,373,401,otro,si
Anel Verdugo,83,otro,casado,universitaria,si,no,756464,no,no,celular,oct,7,438,774,inexistente,ninguno
Aurelio Gilberto Juárez Rosas,68,obrero,viudo,posgrado,si,no,522836,si,no,,dic,7,426,278,inexistente,si
Esmeralda Tania Mora,650,gerente,viudo,ninguno,no,si,528692,si,no,celular,jul,18,660,16,fracaso,si
Andrés Tafoya,60,estudiante,divorciado,,no,si,2873,no,si,celular,jun,13,471,220,fracaso,si
Eugenia Alta  Gracia Coronado,82,,soltero,maestria,no,si,917862,no,no,telefono fijo,jun,31,420,176,exitoso,no
Reynaldo Ramos,43,emprendedor,soltero,posgrado,si,si,295868,si,si,telefono fijo,ene,22,847,142,exitoso,no
Alta  Gracia Beatriz Mojica,81,gerente,soltero,ninguno,no,si,774321,si,si,,sep,20,274,376,inexistente,no
Mtro. Luis Zapata,79,admin,viudo,tecnica,si,si,716563,si,no,,jun,22,357,450,fracaso,no
Dolores Aida Cornejo Longoria,65,obrero,divorciado,universitaria,no,si,706146,si,no,celular,jun,16,583,354,,ninguno
Sandra Valle Galván,150,obrero,soltero,,si,si,736483,no,no,otro,jun,31,43,972,exitoso,ninguno
Fidel Esparta Pabón Sisneros,23,estudiante,casado,maestria,si,si,462749,si,si,celular,feb,22,192,382,fracaso,si
Vicente Georgina Lebrón Tapia,18,desconocido,viudo,maestria,si,si,815606,no,si,,ago,8,305,162,fracaso,ninguno
Trinidad Segovia,18,emprendedor,soltero,ninguno,si,no,674715,si,si,telefono fijo,ene,20,96,393,otro,si
Natividad Indira Laboy de la O,57,desempleado,divorciado,doctorado,si,no,668015,no,si,otro,dic,11,321,34,inexistente,ninguno
Asunción Carvajal Suárez,87,desempleado,viudo,ninguno,si,si,451556,no,si,telefono fijo,may,4,959,612,otro,no
Noelia Yuridia Espinosa,84,jubilado,soltero,secundaria,no,no,717098,no,si,otro,ene,14,658,382,exitoso,ninguno
Liliana Conchita Gallardo,35,desconocido,viudo,ninguno,no,no,937885,si,si,,abr,12,80,382,exitoso,no
Abel Rico,37,técnico,soltero,tecnica,no,no,670397,no,no,otro,feb,20,298,560,fracaso,no
Ing. Lucas Tamayo,44,técnico,casado,universitaria,si,si,747386,si,si,telefono fijo,ago,28,74,947,exitoso,si
Sr(a). Esteban de la Fuente,35,,casado,ninguno,no,no,101851,no,si,telefono fijo,mar,28,98,467,,si
Cecilia Esperanza Quezada Terrazas,24,obrero,soltero,doctorado,si,si,930202,si,no,otro,oct,29,936,202,otro,no
Víctor Cornejo Nevárez,76,estudiante,divorciado,ninguno,no,si,474136,si,no,otro,jun,11,368,194,,no
Ing. Eloy Velásquez,46,jubilado,soltero,universitaria,no,no,29612,si,si,otro,ene,21,819,588,,si
Carla Laura Narváez Zayas,32,,viudo,universitaria,si,si,78241,no,no,celular,ago,27,457,92,,no
Lic. Isabel Barajas,45,estudiante,viudo,otro,si,si,160988,si,no,celular,oct,7,267,142,,no
Abraham Cecilia Romo,72,jubilado,soltero,tecnologia,no,si,548558,si,si,otro,ago,31,432,247,inexistente,ninguno
Lic. Isaac Riojas,150,jubilado,viudo,maestria,si,si,265076,no,si,telefono fijo,ago,11,81,940,exitoso,no
Sr(a). Wendolin Aragón,26,gerente,viudo,posgrado,no,si,979143,no,no,otro,abr,20,19,652,exitoso,no
Angélica Mario Rendón,150,independiente,viudo,universitaria,si,si,568366,si,si,otro,dic,25,677,653,,ninguno
Abelardo Calvillo,78,admin,casado,otro,si,no,680078,no,si,otro,jul,13,771,633,exitoso,ninguno
Alta  Gracia Flavio Montenegro,40,jubilado,viudo,ninguno,si,si,183658,si,si,,abr,4,394,727,,si
Eric Genaro Meza,400,emprendedor,casado,secundaria,si,si,493555,si,no,,jul,23,614,689,otro,no
Francisca Verdugo Henríquez,24,estudiante,divorciado,universitaria,no,si,653919,si,si,otro,jun,24,475,195,fracaso,si
Teresa Mario Pineda Pineda,46,gerente,divorciado,posgrado,no,si,674224,no,si,,oct,13,139,776,fracaso,no
Karina Barajas Valdez,75,obrero,soltero,doctorado,no,si,936606,si,no,otro,dic,1,250,132,exitoso,si
Gilberto Mateo Berríos,83,emprendedor,divorciado,tecnica,no,si,586529,si,no,celular,jul,14,660,656,exitoso,si
Lic. Bianca Quiñónez,81,otro,soltero,tecnica,no,si,607502,si,no,telefono fijo,feb,28,782,467,inexistente,ninguno
Silvano Salgado,52,gerente,soltero,,no,si,514822,no,si,,oct,1,202,534,exitoso,no
Eloy Sessa Dávila Arredondo,40,otro,viudo,secundaria,si,no,733780,no,si,telefono fijo,jul,2,897,235,fracaso,ninguno
Enrique Sotelo Jaramillo,22,independiente,viudo,posgrado,si,si,214446,no,no,otro,ago,5,936,403,exitoso,ninguno
Pablo Tomás Rivero Pineda,75,otro,viudo,tecnica,si,si,656311,si,si,,sep,18,954,831,inexistente,no
Vicente Valentín Bravo,31,servicios,casado,secundaria,si,si,123216,no,si,telefono fijo,feb,16,47,205,exitoso,no
Ing. Camilo de la Crúz,67,técnico,casado,doctorado,si,no,340476,si,si,,jul,17,572,796,exitoso,no
Josefina Arturo Ortega Negrete,550,desempleado,divorciado,,si,no,514919,no,si,otro,jul,9,98,584,fracaso,ninguno
Ing. Pedro Sanabria,76,desconocido,divorciado,otro,no,no,534395,si,si,,dic,5,109,740,inexistente,si
Elsa Lorena León,650,desempleado,casado,universitaria,si,no,252839,si,no,otro,nov,13,855,564,fracaso,no
Alta  Gracia Jos Batista Muñoz,83,,casado,tecnica,si,no,590888,si,no,telefono fijo,abr,29,152,824,,ninguno
Sr(a). Inés Sisneros,69,desconocido,viudo,ninguno,si,si,527305,no,no,,sep,15,882,661,inexistente,si
Leonor Valdivia Rosas,69,desconocido,soltero,tecnica,si,no,521326,no,si,telefono fijo,abr,13,208,34,otro,si
Sonia Octavio Caballero,71,desconocido,viudo,ninguno,no,si,713318,si,si,telefono fijo,feb,31,265,692,exitoso,ninguno
Karina Amelia Hidalgo,26,jubilado,viudo,secundaria,no,no,366674,si,no,otro,jun,10,506,294,inexistente,ninguno
Gabriel Ríos,28,independiente,soltero,universitaria,si,no,67938,no,si,celular,oct,24,172,640,inexistente,ninguno
Iván Jasso,78,independiente,soltero,ninguno,no,no,990190,si,si,celular,jun,30,493,136,fracaso,ninguno
Paulina Esther Méndez Vargas,24,otro,viudo,doctorado,si,si,250627,no,no,celular,jul,19,825,486,exitoso,ninguno
Beatriz Marisela Cabrera Girón,47,técnico,soltero,tecnologia,si,si,700160,si,no,telefono fijo,ene,13,35,476,inexistente,ninguno
Hilda Ilse Villalpando,44,estudiante,soltero,,no,si,27786,no,no,celular,nov,30,236,362,otro,no
Mario Vélez,79,servicios,soltero,secundaria,no,si,315696,no,no,,sep,7,0,796,,si
Aldo Lourdes Rangel Reynoso,54,servicios,casado,tecnica,si,no,689936,no,no,celular,dic,10,464,402,exitoso,no
Alvaro Uriel Adame Girón,20,admin,soltero,posgrado,si,no,388593,si,no,otro,mar,9,516,869,exitoso,ninguno
Pablo de León,40,obrero,soltero,otro,si,si,778938,no,no,telefono fijo,oct,12,523,406,otro,no
Sr(a). Hugo Páez,56,independiente,viudo,tecnica,no,si,302621,no,si,telefono fijo,mar,28,522,443,,ninguno
Jonás Garza Orta,54,desconocido,soltero,tecnologia,si,no,955278,no,si,otro,ago,28,440,131,fracaso,si
Octavio Serafín Verduzco Padrón,44,estudiante,casado,otro,no,si,113214,no,si,telefono fijo,ene,24,609,392,exitoso,si
Lic. Eduardo Longoria,36,,divorciado,universitaria,no,no,441229,no,no,otro,may,7,739,726,fracaso,ninguno
Lic. Flavio Feliciano,55,jubilado,soltero,maestria,si,no,359247,no,no,otro,ago,14,95,292,fracaso,ninguno
Gonzalo Camila Sáenz Madrigal,200,otro,soltero,primaria,no,si,874945,si,si,,ago,8,85,901,inexistente,no
Claudio Miranda,72,,divorciado,universitaria,si,si,151376,si,si,celular,ago,1,900,533,,ninguno
Helena Nancy Barragán,85,emprendedor,soltero,posgrado,si,si,541988,si,si,celular,abr,3,577,857,exitoso,ninguno
Miguel Jimínez Heredia,150,gerente,casado,tecnica,si,no,385340,si,no,otro,feb,20,430,453,,ninguno
Débora Julia Guajardo,59,independiente,soltero,,no,no,514019,si,si,celular,feb,6,868,455,otro,ninguno
Ing. José María Guevara,51,jubilado,soltero,posgrado,si,si,43440,no,no,telefono fijo,jun,27,22,283,otro,si
Leticia Murillo,200,desconocido,viudo,primaria,si,si,662218,si,si,celular,dic,1,771,474,fracaso,no
Marcela Mauro Valdés Trujillo,21,estudiante,casado,maestria,si,si,646930,no,si,celular,ago,16,382,228,inexistente,si
Sr(a). Mateo Téllez,61,otro,soltero,ninguno,no,si,387519,si,si,telefono fijo,mar,8,805,903,otro,ninguno
Alejandro Alcaraz,42,desempleado,divorciado,posgrado,no,si,744445,si,no,celular,mar,22,42,332,exitoso,no
Caridad Esparta Bonilla,34,servicios,soltero,primaria,si,si,8733,si,si,,abr,13,537,633,exitoso,ninguno
Pamela Curiel Ocampo,81,gerente,viudo,universitaria,no,no,591982,si,no,telefono fijo,abr,6,8,688,exitoso,no
Raquel Samuel Villanueva Robledo,350,jubilado,divorciado,maestria,si,si,322807,no,no,celular,ene,30,750,460,,no
Esparta Reyes,22,admin,soltero,primaria,no,no,319596,si,no,,dic,6,691,43,inexistente,no
Concepción Porras,250,independiente,divorciado,ninguno,si,no,901167,si,no,telefono fijo,nov,13,783,730,otro,no
Dr. Adalberto Tijerina,87,gerente,viudo,posgrado,si,no,588131,no,no,,may,10,549,887,fracaso,ninguno
Enrique Irma Armas,300,desempleado,divorciado,universitaria,no,no,990344,no,no,,ago,16,713,514,inexistente,ninguno
Anel Valencia,20,jubilado,casado,tecnica,no,si,658749,no,si,telefono fijo,jun,20,537,859,otro,si
Luis Miguel Mireles Solís,250,otro,soltero,otro,si,no,620751,si,si,celular,jun,31,430,469,otro,ninguno
Ilse Andrea Navarro Balderas,68,admin,soltero,tecnica,si,no,791866,si,no,,feb,31,426,380,inexistente,si
Daniela Gálvez Borrego,47,gerente,casado,secundaria,si,si,365403,no,si,,jul,7,437,370,fracaso,si
Adela Luis Manuel Alarcón,21,gerente,viudo,posgrado,no,si,894265,no,si,celular,oct,20,176,947,exitoso,ninguno
Helena Corral,19,independiente,casado,secundaria,si,si,794213,si,no,telefono fijo,ene,10,242,256,exitoso,ninguno
Teresa Griego,64,jubilado,viudo,posgrado,si,no,487580,no,si,celular,sep,8,419,767,otro,si
Yuridia Becerra,71,emprendedor,soltero,secundaria,si,no,665329,si,si,,mar,11,583,146,otro,no
Sr(a). Raquel Alcala,85,estudiante,divorciado,maestria,no,si,166398,si,no,otro,may,13,235,174,exitoso,no
Gabriela Perla Crespo Ordóñez,60,gerente,viudo,universitaria,si,no,644050,si,no,otro,jul,5,395,632,,ninguno
Santiago Esmeralda Parra,350,otro,casado,posgrado,si,si,68623,si,si,telefono fijo,mar,11,731,41,otro,si
Alfredo Alvarado Baeza,300,independiente,casado,ninguno,no,no,64267,si,no,otro,jul,12,200,169,exitoso,no
Jorge Hermelinda Prado Delgado,21,servicios,viudo,ninguno,no,no,143225,si,si,,ago,1,371,165,,si
Margarita Mayorga Robles,67,estudiante,viudo,tecnologia,si,no,354413,si,no,,oct,29,918,501,inexistente,ninguno
Dr. Nayeli Aranda,35,independiente,casado,tecnica,no,si,159846,no,no,celular,oct,11,230,294,otro,si
María José Delgado Cruz,90,otro,divorciado,,si,si,712340,no,no,telefono fijo,dic,19,201,298,exitoso,si
Santiago Montez,36,estudiante,divorciado,tecnologia,si,no,525044,no,si,celular,jul,15,829,657,exitoso,no
Yolanda Valles Terán,83,gerente,divorciado,posgrado,si,no,729958,no,no,celular,feb,21,477,977,exitoso,si
Mtro. Cornelio Sanches,19,independiente,soltero,posgrado,no,si,448633,si,si,telefono fijo,nov,12,168,462,,ninguno
Mario Reina Colón,30,servicios,divorciado,ninguno,no,no,296017,no,si,otro,sep,9,933,107,exitoso,no
Sonia Blanco Marroquín,300,gerente,divorciado,tecnologia,si,si,929256,si,no,,sep,9,618,284,otro,no
Ofelia Alemán Abrego,38,técnico,casado,doctorado,no,no,486930,si,si,,mar,7,457,365,,no
Estefanía Cristal Ocasio Sotelo,69,admin,viudo,universitaria,si,no,829390,si,si,celular,dic,15,335,679,inexistente,si
Rebeca Blanca Padilla,46,jubilado,casado,,no,no,39994,no,no,otro,abr,21,53,303,exitoso,ninguno
Enrique Urbina,95,estudiante,casado,otro,no,no,985346,si,si,celular,sep,18,680,591,inexistente,ninguno
Zacarías Amanda Jiménez Samaniego,150,admin,viudo,otro,no,si,606726,no,si,celular,sep,27,979,632,otro,si
Jacobo Urbina Casares,56,desconocido,viudo,primaria,si,no,931721,no,no,,ene,17,320,298,,si
Olga Asunción Cintrón,57,servicios,divorciado,universitaria,si,si,141965,no,no,,jul,31,63,428,,si
Dr. Óscar Tapia,48,independiente,divorciado,ninguno,no,si,772899,no,si,celular,nov,24,236,402,inexistente,no
Ing. Patricia de la Garza,35,obrero,soltero,otro,si,no,520415,no,no,celular,oct,21,731,980,otro,si
Raquel Colón,68,gerente,soltero,doctorado,si,si,631910,si,si,telefono fijo,oct,7,796,945,otro,si
Lorenzo Raquel Gaona Irizarry,500,desempleado,viudo,maestria,no,no,500665,no,si,celular,ago,29,816,590,,no
Dr. Eloisa Jiménez,81,desconocido,divorciado,tecnica,no,no,34633,no,no,,feb,17,959,326,,ninguno
Pilar Fidel Venegas,68,independiente,viudo,ninguno,si,no,33262,no,no,otro,ene,10,630,569,exitoso,no
Dr. Úrsula Juárez,87,emprendedor,divorciado,universitaria,no,no,746864,si,si,telefono fijo,abr,9,493,723,fracaso,ninguno
Omar Lucía de la O,90,desempleado,casado,tecnica,no,si,927100,no,si,celular,ene,1,847,181,fracaso,no
Raquel Quintanilla Quiroz,41,desconocido,viudo,tecnica,si,no,619972,si,si,telefono fijo,sep,12,560,440,inexistente,si
Conchita Nájera Garica,300,desempleado,divorciado,posgrado,no,si,437191,no,no,celular,abr,17,169,919,otro,ninguno
Carlota Adame Feliciano,700,emprendedor,viudo,ninguno,no,no,357003,si,no,telefono fijo,ene,13,775,625,fracaso,si
Leonardo Arellano,87,técnico,viudo,primaria,no,no,931432,si,no,celular,mar,18,605,180,exitoso,no
Ramón Camila Regalado Orta,69,,divorciado,posgrado,si,no,650532,si,no,telefono fijo,nov,21,750,398,exitoso,ninguno
José Eduardo Gallegos,33,servicios,viudo,tecnologia,no,no,436219,no,si,telefono fijo,oct,7,796,969,,no
Roberto Caridad Ornelas,74,estudiante,soltero,tecnica,no,si,882892,si,no,celular,may,14,375,392,otro,ninguno
Dr. Esteban Lira,48,técnico,casado,universitaria,no,si,411907,no,si,telefono fijo,mar,14,425,276,otro,ninguno
Esperanza Ibarra,72,otro,casado,tecnica,no,no,986691,si,si,celular,feb,26,309,937,otro,ninguno
Nicolás Badillo,250,obrero,viudo,tecnica,no,si,374655,no,no,celular,jun,2,551,653,exitoso,no
Eugenio Diego Cardona Barrera,39,técnico,casado,doctorado,no,no,963933,si,si,telefono fijo,may,5,403,530,exitoso,si
Modesto Palomino,63,desempleado,casado,tecnologia,no,si,857913,no,no,otro,ene,10,713,428,,no
Santiago Alta  Gracia Villanueva,500,servicios,soltero,secundaria,si,no,581410,no,no,celular,dic,13,859,318,,si
Rosario Juan Carlos Centeno,79,gerente,viudo,primaria,no,si,275535,si,si,telefono fijo,nov,21,756,784,inexistente,ninguno
Lic. Julia Meraz,76,emprendedor,divorciado,tecnica,si,si,889732,si,si,celular,nov,10,419,218,otro,ninguno
Dr. Úrsula Carrión,87,desempleado,viudo,posgrado,no,no,141649,no,si,otro,oct,13,586,647,exitoso,si
Gabriela Yuridia Varela Chacón,70,otro,divorciado,tecnologia,si,si,645050,no,no,,feb,7,777,970,exitoso,ninguno
Elena Benjamín Bravo,82,,divorciado,posgrado,no,si,349060,no,si,telefono fijo,jun,7,411,126,exitoso,no
Alfonso María Eugenia Gaitán,74,servicios,soltero,primaria,si,no,839468,si,si,celular,oct,29,113,487,inexistente,si
Oswaldo Godoy Solano,41,jubilado,viudo,maestria,si,si,770704,no,no,telefono fijo,may,24,583,261,exitoso,no
Gerónimo Zavala,87,gerente,viudo,universitaria,no,no,109315,no,no,,may,12,190,818,otro,si
Octavio Colunga Beltrán,57,emprendedor,viudo,tecnologia,si,no,234440,no,si,celular,feb,4,906,536,exitoso,no
Jacinto Vela Herrera,83,servicios,viudo,posgrado,no,si,896867,si,no,otro,jun,9,528,307,,no
Sr(a). Felipe Ávalos,18,otro,casado,maestria,no,si,649588,no,si,otro,nov,15,645,590,inexistente,no
Susana Patricio Palomo Ureña,37,desempleado,divorciado,maestria,no,si,711500,si,no,telefono fijo,abr,30,429,18,inexistente,si
Gerónimo Benavides,85,desempleado,divorciado,primaria,si,si,808351,si,si,celular,jul,18,35,656,exitoso,ninguno
Leticia Sandra Cano Tamayo,31,jubilado,viudo,doctorado,no,no,586037,si,no,telefono fijo,jul,31,945,228,,no
Eloisa Monroy Carrasco,44,obrero,viudo,doctorado,no,si,886619,si,no,telefono fijo,jun,25,57,305,exitoso,no
Leticia Gamboa Leyva,25,otro,casado,tecnologia,si,no,192140,no,si,otro,ene,5,96,603,otro,ninguno
Ramiro Gabriel Cervántez Oquendo,61,obrero,viudo,primaria,no,si,257579,si,si,,feb,30,351,232,otro,si
Jonás Hugo Marrero Carbajal,400,obrero,casado,,si,no,500317,si,si,telefono fijo,may,14,230,289,otro,ninguno
Reynaldo Patricia Galván Adame,54,gerente,divorciado,secundaria,no,no,398237,no,no,otro,sep,12,70,510,otro,ninguno
Mtro. Helena Jimínez,56,emprendedor,casado,,si,si,971901,no,si,otro,abr,26,245,93,,ninguno
Mónica Elvia Miranda Leyva,64,emprendedor,soltero,,si,si,536838,no,no,telefono fijo,sep,7,361,259,otro,no
Ana Luisa Estrada,83,jubilado,casado,ninguno,si,no,714723,no,no,celular,jun,27,776,48,inexistente,si
Olga Porfirio Olmos Madera,83,desconocido,casado,otro,no,si,68493,si,si,celular,dic,8,81,262,otro,si
José Carlos Frías,150,servicios,divorciado,,no,si,802747,si,no,,ago,18,487,490,exitoso,ninguno
Cristian Arenas,300,emprendedor,viudo,secundaria,si,si,773976,si,no,telefono fijo,may,14,235,237,fracaso,no
Ing. Antonio Manzanares,87,técnico,viudo,primaria,si,no,900664,no,si,,abr,8,41,27,fracaso,ninguno
Dr. Rebeca Colunga,300,independiente,soltero,maestria,si,si,770533,si,no,celular,may,11,385,161,inexistente,no
Estela Pelayo,53,desempleado,divorciado,maestria,si,no,555505,si,no,,mar,26,612,210,,si
Antonio Josefina Aguilar,25,admin,divorciado,tecnica,no,no,272608,no,si,telefono fijo,mar,21,456,467,exitoso,no
Elena Diego Benavídez Salcedo,18,servicios,divorciado,universitaria,si,no,430370,no,no,celular,oct,1,212,644,fracaso,no
Judith Corona,52,jubilado,viudo,otro,si,si,974272,si,si,telefono fijo,jun,18,239,262,inexistente,no
Óscar Itzel Correa,78,obrero,casado,primaria,si,no,60107,no,si,telefono fijo,sep,28,781,67,,si
Renato Cecilia Peña,87,desconocido,divorciado,universitaria,no,no,312823,si,no,otro,mar,15,831,238,exitoso,no
Caridad Fajardo Valadez,300,desconocido,divorciado,maestria,si,no,970378,si,no,celular,mar,29,42,587,inexistente,no
Itzel Miguel Lemus,64,estudiante,casado,universitaria,no,si,771435,no,si,celular,feb,27,913,53,inexistente,si
Dr. Ivonne Mondragón,200,otro,casado,primaria,no,si,464933,si,si,telefono fijo,feb,16,817,179,otro,no
Mariana Adriana Toro,24,obrero,soltero,universitaria,no,si,578812,si,no,celular,feb,23,971,725,exitoso,si
María Cristina Armenta,83,otro,soltero,,si,no,900512,si,no,celular,feb,2,291,600,fracaso,no
Mtro. Carla Alarcón,150,obrero,viudo,tecnologia,si,si,349659,no,si,,abr,20,341,782,,ninguno
Fabiola Eva Mata,39,gerente,divorciado,tecnica,si,no,344427,si,no,,mar,30,25,630,inexistente,ninguno
Eloy Daniel Escalante,74,desempleado,soltero,maestria,si,no,841955,no,no,celular,sep,18,634,467,inexistente,no
